,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,-3.7112548411999033,0.6459549489931645,-5.745377207782916,1.394476517296056e-07,-4.995586335959098,-2.426923346440709
G[T.Amino acids],-2.0292254108196977,0.4421011936984752,-4.589956869023257,1.519513621299176e-05,-2.9082410261077465,-1.1502097955316486
G[T.Keto / hydroxy acids],-0.2948954516959814,0.4486043132161526,-0.6573620516080302,0.5127242943869774,-1.186841010819517,0.5970501074275543
G[T.Other],-1.1283491916470805,0.5534957766653151,-2.0385868135166723,0.0445990979067732,-2.228847081314906,-0.027851301979255005
G[T.Organooxygen compounds],-0.5045139063213626,0.3497293000292451,-1.4425840393675167,0.15281258013052132,-1.199869449873983,0.1908416372312579
B,-1.471069931591366,0.27467426447045085,-5.355688981009803,7.152156968800704e-07,-2.0171959566478743,-0.9249439065348578
C,0.555588969810357,0.1500759675031644,3.7020515613110554,0.00037904954024815894,0.2571977399402208,0.8539801996804932
