,Species,Carbon source,model,RSS,RMSD,bic,aic,weighted_bic,weighted_aic,y0,K,r,nu,q0,v,has_lag,has_nu,max_growth_rate,min_doubling_time,lag,Binary growth evaluation,Yield
0,At,Acetate,Model(BaranyiRoberts),0.3223443935298584,0.027703549434351687,-2976.1620496141786,-3000.403577881843,0.9456391296367946,0.9924328572081096,0.051560246264765075,1.0375026699230128,0.8251450700421648,0.10000000042751733,0.05172128554877764,0.1676234136139101,True,True,0.09560096472390284,7.355897564230897,20.27666843639498,1,0.9437333333333335
1,At,Adenosine,Model(LogisticLag2),0.006107609084991252,0.003671863390918852,-5049.413284273806,-5069.992744901221,0.8354208399318432,0.5378855771751396,0.0503998261239762,0.21117528030531574,0.019035933675395765,1.0,0.033518560870119396,0.4054521466417902,True,False,0.013571631285375647,58.40917306195084,14.478764249869117,1,0.06109999999999998
2,At,Citrate,,,,,,,,,,,,,,,,,,,0,0.013466666666666648
3,At,Cysteine,Model(Logistic),0.6973470959158314,0.05846681210083604,-1142.478408117904,-1152.4327680994368,0.9303052945736375,0.6652409893407034,0.012424208398255754,0.4396555257278114,0.83894874892702,1.0,0.0,0.0,False,False,0.7695667692979087,0.8505032810588365,1.8235884639391013,1,0.5105666666666666
4,At,D-arabinose,Model(BaranyiRoberts),0.5024175476295822,0.039378565785223564,-2061.2933287553506,-2083.9777898501047,0.9203294745746443,0.9968673746352748,0.05064039444199109,1.385083913893059,0.20524021010872098,0.5677333879344918,0.00010000000565746348,1.019883442985089,True,True,0.14496662582535375,4.485332554776999,16.196442635256503,1,1.2653
5,At,D-glucose,Model(Richards),0.4573671692131191,0.040707830016904784,-1744.6552179108642,-1759.1368213737328,0.9400121020190402,0.665241022922457,0.02105152893826623,1.386136177477762,1.067847075920369,0.10000000029354275,0.0,0.0,False,True,0.23901408109004488,2.025414303192081,5.526756639433686,1,1.321533333333333
6,At,D-xylose,Model(Richards),0.5158427521956532,0.040275886327717066,-2019.785284785882,-2034.8334903170025,0.9440892774843465,0.6652409884446119,0.019773686814614555,1.356050045555617,1.0806990604236768,0.10000000049413174,0.0,0.0,False,True,0.24223730651219294,2.015487709932154,5.553862554918776,1,1.3303333333333331
7,At,Formate,Model(BaranyiRoberts),0.011949460626485352,0.005136000416590434,-4739.266099370369,-4763.961452123268,0.940450245370021,0.9919778366286778,0.046991153211367376,0.18735809398090808,1.189977528378616,0.10000000000047977,0.00010000000009435794,0.3787444967777789,True,True,0.07796381108127952,9.97414080747414,23.17120100317638,1,0.14196666666666669
8,At,Fumarate,Model(Richards),0.02534738961145671,0.012508611752387032,-1399.20310452769,-1411.5534898686194,0.9218796734184735,0.6652409464940539,0.018270612153033827,0.7244729029179651,0.8718067638687091,0.2743274621247633,0.0,0.0,False,True,0.4182850208339777,1.3236430875319765,2.6895187119245185,1,0.6776333333333334
9,At,Glutarate,Model(Richards),0.16544282956940976,0.019110624252346397,-3561.0412661256414,-3577.5048346275735,0.9531146893281796,0.6652406796634609,0.0223340488976016,0.6123631859520302,0.6039937351757346,0.10000000573508976,0.0,0.0,False,True,0.12881932923513897,4.458138694249806,6.127536212371545,1,0.5529999999999999
