,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD,spent,fn,Base carbon source,Short name,Background,Partner,log2 fold change
405,F5,4,520000000.0,At,At+Ml,Ct_malate,,True,cfus_spent_malate,Malate,Ct (Ml),Ct,Ml,9.29841437394501
406,F6,4,540000000.0,At,At+Ml,Ct_malate,,True,cfus_spent_malate,Malate,Ct (Ml),Ct,Ml,9.352862157967387
407,F7,4,80000000.0,At,At+Ct,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Ct),Ml,Ct,6.597974655803918
408,F8,4,84000000.0,At,At+Ct,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Ct),Ml,Ct,6.668363983695316
409,F9,4,86000000.0,At,At+Ct,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Ct),Ml,Ct,6.702311315618653
410,F10,4,110000000.0,At,At+Ct,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ct),Oa,Ct,7.057406274441215
411,F11,4,106000000.0,At,At+Ct,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ct),Oa,Ct,7.003967015479755
412,F12,4,104000000.0,At,At+Ct,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ct),Oa,Ct,6.976486279057648
413,G4,4,340000000.0,At,At+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (Oa),Ct,Oa,8.685437497054258
414,G5,4,240000000.0,At,At+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (Oa),Ct,Oa,8.182937156525073
415,G6,4,320000000.0,At,At+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (Oa),Ct,Oa,8.597974655803917
416,G7,4,720000000.0,At,At+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Oa),Ml,Oa,9.76789965724623
417,G8,4,420000000.0,At,At+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Oa),Ml,Oa,8.990292078582678
418,G9,4,660000000.0,At,At+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Oa),Ml,Oa,9.642368775162371
419,G10,4,500000000.0,At,At+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ml),Oa,Ml,9.241830845578642
420,G11,4,400000000.0,At,At+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ml),Oa,Ml,8.91990275069128
421,G12,4,520000000.0,At,At+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ml),Oa,Ml,9.29841437394501
422,B1,4,78000000.0,Ct,Ct,At_malate,,True,cfus_spent_malate,Malate,At,At,No partner,7.712205125279963
423,B2,4,108000000.0,Ct,Ct,At_malate,,True,cfus_spent_malate,Malate,At,At,No partner,8.181690408581185
424,B3,4,54000000.0,Ct,Ct,At_malate,,True,cfus_spent_malate,Malate,At,At,No partner,7.181690408581184
425,B6,4,58000000.0,Ct,Ct,Ct_malate,,True,cfus_spent_malate,Malate,Ct,Ct,No partner,7.284783901545287
426,B7,4,1140000000.0,Ct,Ct,Ml_malate,,True,cfus_spent_malate,Malate,Ml,Ml,No partner,11.58162101546982
427,B8,4,1360000000.0,Ct,Ct,Ml_malate,,True,cfus_spent_malate,Malate,Ml,Ml,No partner,11.836193842555417
428,B9,4,1400000000.0,Ct,Ct,Ml_malate,,True,cfus_spent_malate,Malate,Ml,Ml,No partner,11.878014018250044
429,B10,4,40000000.0,Ct,Ct,Oa_malate,,True,cfus_spent_malate,Malate,Oa,Oa,No partner,6.748731001305078
430,B11,4,58000000.0,Ct,Ct,Oa_malate,,True,cfus_spent_malate,Malate,Oa,Oa,No partner,7.284783901545287
431,B12,4,56000000.0,Ct,Ct,Oa_malate,,True,cfus_spent_malate,Malate,Oa,Oa,No partner,7.234157828475319
432,F1,4,42000000.0,Ct,Ct+Ml,At_malate,,True,cfus_spent_malate,Malate,At (Ml),At,Ml,6.819120329196475
433,F2,4,42000000.0,Ct,Ct+Ml,At_malate,,True,cfus_spent_malate,Malate,At (Ml),At,Ml,6.819120329196475
434,F3,4,52000000.0,Ct,Ct+Ml,At_malate,,True,cfus_spent_malate,Malate,At (Ml),At,Ml,7.127242624558807
435,F7,4,1360000000.0,Ct,At+Ct,Ml_malate,,True,cfus_spent_malate,Malate,Ml (At),Ml,At,11.836193842555417
436,F8,4,1380000000.0,Ct,At+Ct,Ml_malate,,True,cfus_spent_malate,Malate,Ml (At),Ml,At,11.857255458083246
437,F9,4,1320000000.0,Ct,At+Ct,Ml_malate,,True,cfus_spent_malate,Malate,Ml (At),Ml,At,11.79312512066353
438,F10,4,106000000.0,Ct,At+Ct,Oa_malate,,True,cfus_spent_malate,Malate,Oa (At),Oa,At,8.154723360980915
439,F11,4,108000000.0,Ct,At+Ct,Oa_malate,,True,cfus_spent_malate,Malate,Oa (At),Oa,At,8.181690408581185
440,F12,4,106000000.0,Ct,At+Ct,Oa_malate,,True,cfus_spent_malate,Malate,Oa (At),Oa,At,8.154723360980915
441,G1,4,36000000.0,Ct,Ct+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Oa),At,Oa,6.596727907860028
442,G2,4,64000000.0,Ct,Ct+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Oa),At,Oa,7.4268029064177155
443,G3,4,56000000.0,Ct,Ct+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Oa),At,Oa,7.234157828475319
444,H7,4,1520000000.0,Ct,Ct+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Oa),Ml,Oa,11.996658514748663
445,H8,4,1100000000.0,Ct,Ct+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Oa),Ml,Oa,11.530090714829738
446,H9,4,1640000000.0,Ct,Ct+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Oa),Ml,Oa,12.106283005923162
447,H10,4,26000000.0,Ct,Ct+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ml),Oa,Ml,6.127242624558807
448,H11,4,82000000.0,Ct,Ct+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ml),Oa,Ml,7.784354911035799
449,H12,4,32000000.0,Ct,Ct+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ml),Oa,Ml,6.4268029064177155
450,C1,4,1360000.0,Ml,Ml,At_malate,,True,cfus_spent_malate,Malate,At,At,No partner,-0.23517611595290244
451,C2,4,1340000.0,Ml,Ml,At_malate,,True,cfus_spent_malate,Malate,At,At,No partner,-0.25654976674546937
452,C5,4,60000000.0,Ml,Ml,Ct_malate,,True,cfus_spent_malate,Malate,Ct,Ct,No partner,5.2281078281800015
453,C6,4,50000000.0,Ml,Ml,Ct_malate,,True,cfus_spent_malate,Malate,Ct,Ct,No partner,4.965073422346207
454,C7,4,520000.0,Ml,Ml,Ml_malate,,True,cfus_spent_malate,Malate,Ml,Ml,No partner,-1.6221992390621498
455,C8,4,300000.0,Ml,Ml,Ml_malate,,True,cfus_spent_malate,Malate,Ml,Ml,No partner,-2.4157483615947233
456,C9,4,340000.0,Ml,Ml,Ml_malate,,True,cfus_spent_malate,Malate,Ml,Ml,No partner,-2.2351761159529024
457,C10,4,18000000.0,Ml,Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa,Oa,No partner,3.491142234013795
458,C11,4,30000000.0,Ml,Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa,Oa,No partner,4.2281078281800015
459,C12,4,18000000.0,Ml,Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa,Oa,No partner,3.491142234013795
460,E7,4,10000.0,Ml,Ml,No CS,,True,cfus_spent_malate,No CS,No CS,No CS,No partner,-7.3226389572032415
461,E8,4,4000.0,Ml,Ml,No CS,,True,cfus_spent_malate,No CS,No CS,No CS,No partner,-8.644567052090604
462,E9,4,10000.0,Ml,Ml,No CS,,True,cfus_spent_malate,No CS,No CS,No CS,No partner,-7.3226389572032415
463,F1,4,8400000.0,Ml,Ct+Ml,At_malate,,True,cfus_spent_malate,Malate,At (Ct),At,Ct,2.391606560462881
464,F2,4,8800000.0,Ml,Ct+Ml,At_malate,,True,cfus_spent_malate,Malate,At (Ct),At,Ct,2.458720756321418
465,F3,4,13800000.0,Ml,Ct+Ml,At_malate,,True,cfus_spent_malate,Malate,At (Ct),At,Ct,3.1078135944622898
466,F4,4,108000000.0,Ml,At+Ml,Ct_malate,,True,cfus_spent_malate,Malate,Ct (At),Ct,At,6.076104734734951
467,F5,4,86000000.0,Ml,At+Ml,Ct_malate,,True,cfus_spent_malate,Malate,Ct (At),Ct,At,5.747481987273581
468,F6,4,66000000.0,Ml,At+Ml,Ct_malate,,True,cfus_spent_malate,Malate,Ct (At),Ct,At,5.365611351929936
469,G10,4,28000000.0,Ml,At+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (At),Oa,At,4.1285721546290866
470,G11,4,36000000.0,Ml,At+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (At),Oa,At,4.491142234013795
471,G12,4,40000000.0,Ml,At+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (At),Oa,At,4.6431453274588455
472,H1,4,2800000.0,Ml,Ml+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Oa),At,Oa,0.8066440597417245
473,H2,4,3400000.0,Ml,Ml+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Oa),At,Oa,1.08675197893446
474,H3,4,8000000.0,Ml,Ml+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Oa),At,Oa,2.321217232571483
475,H4,4,58000000.0,Ml,Ml+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (Oa),Ct,Oa,5.179198227699055
476,H5,4,56000000.0,Ml,Ml+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (Oa),Ct,Oa,5.1285721546290866
477,H6,4,60000000.0,Ml,Ml+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (Oa),Ct,Oa,5.2281078281800015
478,H10,4,8800000.0,Ml,Ct+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ct),Oa,Ct,2.458720756321418
479,H11,4,11200000.0,Ml,Ct+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ct),Oa,Ct,2.8066440597417244
480,H12,4,8600000.0,Ml,Ct+Ml,Oa_malate,,True,cfus_spent_malate,Malate,Oa (Ct),Oa,Ct,2.4255538923862185
481,D1,4,2400000000.0,Oa,Oa,At_malate,,True,cfus_spent_malate,Malate,At,At,No partner,11.653316519023791
482,D2,4,6600000000.0,Oa,Oa,At_malate,,True,cfus_spent_malate,Malate,At,At,No partner,13.112748137661088
483,D3,4,2200000000.0,Oa,Oa,At_malate,,True,cfus_spent_malate,Malate,At,At,No partner,11.527785636939932
484,D4,4,1780000000.0,Oa,Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct,Ct,No partner,11.22215935438167
485,D5,4,1000000000.0,Oa,Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct,Ct,No partner,10.390282113189997
486,D7,4,3800000000.0,Oa,Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml,Ml,No partner,12.31628153174622
487,D8,4,3400000000.0,Oa,Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml,Ml,No partner,12.155816859552974
488,D9,4,3800000000.0,Oa,Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml,Ml,No partner,12.31628153174622
489,D10,4,780000000.0,Oa,Oa,Oa_malate,,True,cfus_spent_malate,Malate,Oa,Oa,No partner,10.03182814227752
490,D11,4,580000000.0,Oa,Oa,Oa_malate,,True,cfus_spent_malate,Malate,Oa,Oa,No partner,9.604406918542844
491,D12,4,700000000.0,Oa,Oa,Oa_malate,,True,cfus_spent_malate,Malate,Oa,Oa,No partner,9.875708940360239
492,E10,4,3000000.0,Oa,Oa,No CS,,True,cfus_spent_malate,No CS,No CS,No CS,No partner,2.009460329249066
493,E11,4,2400000.0,Oa,Oa,No CS,,True,cfus_spent_malate,No CS,No CS,No CS,No partner,1.687532234361704
494,G1,4,134000000.0,Oa,Ct+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Ct),At,Ct,7.490587018985683
495,G2,4,580000000.0,Oa,Ct+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Ct),At,Ct,9.604406918542844
496,G3,4,400000000.0,Oa,Ct+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Ct),At,Ct,9.068354018302635
497,G4,4,240000000.0,Oa,At+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (At),Ct,At,8.331388424136428
498,G5,4,400000000.0,Oa,At+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (At),Ct,At,9.068354018302635
499,G6,4,170000000.0,Oa,At+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (At),Ct,At,7.833888764665612
500,G7,4,4000000000.0,Oa,At+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (At),Ml,At,12.390282113189997
501,G8,4,3600000000.0,Oa,At+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (At),Ml,At,12.238279019744947
502,G9,4,1800000000.0,Oa,At+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (At),Ml,At,11.238279019744947
503,H1,4,640000000.0,Oa,Ml+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Ml),At,Ml,9.746425923415272
504,H2,4,560000000.0,Oa,Ml+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Ml),At,Ml,9.553780845472877
505,H3,4,560000000.0,Oa,Ml+Oa,At_malate,,True,cfus_spent_malate,Malate,At (Ml),At,Ml,9.553780845472877
506,H4,4,380000000.0,Oa,Ml+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (Ml),Ct,Ml,8.994353436858859
507,H5,4,420000000.0,Oa,Ml+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (Ml),Ct,Ml,9.138743346194033
508,H6,4,280000000.0,Oa,Ml+Oa,Ct_malate,,True,cfus_spent_malate,Malate,Ct (Ml),Ct,Ml,8.553780845472877
509,H7,4,260000000.0,Oa,Ct+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Ct),Ml,Ct,8.446865641556364
510,H8,4,500000000.0,Oa,Ct+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Ct),Ml,Ct,9.390282113189997
511,H9,4,700000000.0,Oa,Ct+Oa,Ml_malate,,True,cfus_spent_malate,Malate,Ml (Ct),Ml,Ct,9.875708940360239
512,A1,6,360000000.0,At,At+Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ct),Fresh (coculture),Ct,8.76789965724623
513,A2,6,12000000000.0,At,At+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ml),Fresh (coculture),Ml,13.826793346299798
514,A3,6,10600000000.0,At,At+Oa,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Oa),Fresh (coculture),Oa,13.647823205254479
515,A7,6,5800000000.0,At,At+Oa,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T (Oa),Fresh (coculture),Oa,12.777883745818851
516,A10,6,10600000000.0,At,At+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml,13.647823205254479
517,B1,6,260000000.0,At,At+Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ct),Fresh (coculture),Ct,8.29841437394501
518,B2,6,6600000000.0,At,At+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ml),Fresh (coculture),Ml,12.964296870049733
519,B3,6,6200000000.0,At,At+Oa,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Oa),Fresh (coculture),Oa,12.874099061078155
520,B7,6,3600000000.0,At,At+Oa,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T (Oa),Fresh (coculture),Oa,12.089827752133592
521,B10,6,8000000000.0,At,At+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml,13.241830845578642
522,C1,6,280000000.0,At,At+Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ct),Fresh (coculture),Ct,8.405329577861522
523,C2,6,7200000000.0,At,At+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ml),Fresh (coculture),Ml,13.089827752133592
524,C3,6,3400000000.0,At,At+Oa,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Oa),Fresh (coculture),Oa,12.00736559194162
525,C7,6,3000000000.0,At,At+Oa,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T (Oa),Fresh (coculture),Oa,11.826793346299798
526,C10,6,2200000000.0,At,At+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml,11.379334369328577
527,D1,6,160000000.0,At,At+Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ct),Fresh (coculture),Ct,7.597974655803918
528,D2,6,6000000000.0,At,At+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ml),Fresh (coculture),Ml,12.826793346299798
529,D3,6,6400000000.0,At,At+Oa,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Oa),Fresh (coculture),Oa,12.91990275069128
530,D7,6,2000000000.0,At,At+Oa,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T (Oa),Fresh (coculture),Oa,11.241830845578642
531,D10,6,6200000000.0,At,At+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml,12.874099061078155
532,E1,6,8200000000.0,At,At,M9_malate,,False,cfus_fresh_malate,Malate,Fresh,Fresh (monoculture),No partner,13.277454755309364
533,E5,6,8200000000.0,At,At,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T,Fresh (monoculture),No partner,13.277454755309364
534,E9,6,6600000000.0,At,At,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA,Fresh (monoculture),No partner,12.964296870049733
535,F1,6,7000000000.0,At,At,M9_malate,,False,cfus_fresh_malate,Malate,Fresh,Fresh (monoculture),No partner,13.049185767636246
536,F5,6,6400000000.0,At,At,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T,Fresh (monoculture),No partner,12.91990275069128
537,F9,6,4600000000.0,At,At,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA,Fresh (monoculture),No partner,12.443464706748292
538,G1,6,5800000000.0,At,At,M9_malate,,False,cfus_fresh_malate,Malate,Fresh,Fresh (monoculture),No partner,12.777883745818851
539,G5,6,6600000000.0,At,At,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T,Fresh (monoculture),No partner,12.964296870049733
540,G9,6,5600000000.0,At,At,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA,Fresh (monoculture),No partner,12.727257672748884
541,H1,6,11200000000.0,At,At,M9_malate,,False,cfus_fresh_malate,Malate,Fresh,Fresh (monoculture),No partner,13.727257672748884
542,H5,6,8200000000.0,At,At,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T,Fresh (monoculture),No partner,13.277454755309364
543,H9,6,6600000000.0,At,At,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA,Fresh (monoculture),No partner,12.964296870049733
544,A1,6,7000000000.0,Ct,At+Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (At),Fresh (coculture),At,14.199942113137407
545,A4,6,7800000000.0,Ct,Ct+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ml),Fresh (coculture),Ml,14.356061315054689
546,A5,6,6600000000.0,Ct,Ct+Oa,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Oa),Fresh (coculture),Oa,14.115053215550894
547,A8,6,6600000000.0,Ct,Ct+Oa,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T (Oa),Fresh (coculture),Oa,14.115053215550894
548,A11,6,8600000000.0,Ct,Ct+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml,14.496923850894538
549,B1,6,5200000000.0,Ct,At+Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (At),Fresh (coculture),At,13.771098814333532
550,B4,6,5200000000.0,Ct,Ct+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ml),Fresh (coculture),Ml,13.771098814333532
551,B5,6,5200000000.0,Ct,Ct+Oa,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Oa),Fresh (coculture),Oa,13.771098814333532
552,B8,6,4000000000.0,Ct,Ct+Oa,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T (Oa),Fresh (coculture),Oa,13.392587191079802
553,B11,6,6600000000.0,Ct,Ct+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml,14.115053215550894
554,C1,6,6400000000.0,Ct,At+Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (At),Fresh (coculture),At,14.07065909619244
555,C4,6,3800000000.0,Ct,Ct+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ml),Fresh (coculture),Ml,13.318586609636025
556,C5,6,4400000000.0,Ct,Ct+Oa,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Oa),Fresh (coculture),Oa,13.530090714829738
557,C8,6,3600000000.0,Ct,Ct+Oa,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T (Oa),Fresh (coculture),Oa,13.240584097634752
558,C11,6,5200000000.0,Ct,Ct+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml,13.771098814333532
559,D1,6,7800000000.0,Ct,At+Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (At),Fresh (coculture),At,14.356061315054689
560,D4,6,4000000000.0,Ct,Ct+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ml),Fresh (coculture),Ml,13.392587191079802
561,D5,6,5800000000.0,Ct,Ct+Oa,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Oa),Fresh (coculture),Oa,13.928640091320013
562,D8,6,5000000000.0,Ct,Ct+Oa,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T (Oa),Fresh (coculture),Oa,13.714515285967165
563,D11,6,5400000000.0,Ct,Ct+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Ml),Fresh (coculture),Ml,13.825546598355908
564,E2,6,5000000000.0,Ct,Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh,Fresh (monoculture),No partner,13.714515285967165
565,E6,6,5600000000.0,Ct,Ct,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T,Fresh (monoculture),No partner,13.878014018250044
566,E10,6,5600000000.0,Ct,Ct,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA,Fresh (monoculture),No partner,13.878014018250044
567,F2,6,5800000000.0,Ct,Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh,Fresh (monoculture),No partner,13.928640091320013
568,F6,6,6000000000.0,Ct,Ct,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T,Fresh (monoculture),No partner,13.97754969180096
569,F10,6,5400000000.0,Ct,Ct,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA,Fresh (monoculture),No partner,13.825546598355908
570,G2,6,5600000000.0,Ct,Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh,Fresh (monoculture),No partner,13.878014018250044
571,G6,6,4800000000.0,Ct,Ct,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T,Fresh (monoculture),No partner,13.655621596913596
572,G10,6,4600000000.0,Ct,Ct,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA,Fresh (monoculture),No partner,13.594221052249454
573,H2,6,4200000000.0,Ct,Ct,M9_malate,,False,cfus_fresh_malate,Malate,Fresh,Fresh (monoculture),No partner,13.4629765189712
574,H6,6,5800000000.0,Ct,Ct,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T,Fresh (monoculture),No partner,13.928640091320013
575,H10,6,8000000000.0,Ct,Ct,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA,Fresh (monoculture),No partner,14.392587191079802
576,A2,6,340000000.0,Ml,At+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (At),Fresh (coculture),At,7.7306081687091845
577,A4,6,160000000.0,Ml,Ct+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ct),Fresh (coculture),Ct,6.6431453274588455
578,A6,6,12000000.0,Ml,Ml+Oa,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Oa),Fresh (coculture),Oa,2.906179733292639
579,A9,6,380000000.0,Ml,Ml+Oa,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T (Oa),Fresh (coculture),Oa,7.891072840902431
580,A10,6,300000000.0,Ml,At+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (At),Fresh (coculture),At,7.550035923067363
581,A11,6,240000000.0,Ml,Ct+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Ct),Fresh (coculture),Ct,7.2281078281800015
582,A12,6,320000000.0,Ml,Ml+Oa,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Oa),Fresh (coculture),Oa,7.6431453274588455
583,B2,6,240000000.0,Ml,At+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (At),Fresh (coculture),At,7.2281078281800015
584,B4,6,140000000.0,Ml,Ct+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ct),Fresh (coculture),Ct,6.450500249516449
585,B6,6,4000000.0,Ml,Ml+Oa,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Oa),Fresh (coculture),Oa,1.3212172325714826
586,B9,6,420000000.0,Ml,Ml+Oa,M9_malate+thiamine,,False,cfus_fresh_malate,Malate,Fresh + T (Oa),Fresh (coculture),Oa,8.035462750237606
587,B10,6,280000000.0,Ml,At+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (At),Fresh (coculture),At,7.450500249516449
588,B11,6,160000000.0,Ml,Ct+Ml,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Ct),Fresh (coculture),Ct,6.6431453274588455
589,B12,6,280000000.0,Ml,Ml+Oa,M9_malate+thiamine+biotin+cysteine+proline,,False,cfus_fresh_malate,Malate,Fresh + Vit. & AA (Oa),Fresh (coculture),Oa,7.450500249516449
590,C2,6,160000000.0,Ml,At+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (At),Fresh (coculture),At,6.6431453274588455
591,C4,6,160000000.0,Ml,Ct+Ml,M9_malate,,False,cfus_fresh_malate,Malate,Fresh (Ct),Fresh (coculture),Ct,6.6431453274588455
