,Well,Plate,CFUs/mL,Species,Inoculated species,Medium,Initial OD
299,F3,2,600000000.0,Oa,Oa,Ct_isoleucine,0.001
301,F6,2,500000000.0,Oa,Ml+Oa,Ct_isoleucine,0.001
312,G10,2,32000000.0,Oa,Oa,No_CS,0.001
313,G11,2,32000000.0,Oa,Oa,No_CS,0.001
314,G12,2,32000000.0,Oa,Oa,No_CS,0.001
322,H11,2,132000000.0,Oa,Oa,Oa_mannose,0.001
323,H12,2,112000000.0,Oa,Oa,Oa_mannose,0.001
324,Inoculum,0,852491.3665515541,At,,,0.001
325,Inoculum,0,825851.011346818,At,,,0.001
326,Inoculum,0,745929.9457326098,At,,,0.001
327,Inoculum,0,745929.9457326098,At,,,0.001
334,A7,2,480000000.0,At,At,Ml_mannose,0.001
337,A10,2,400000000.0,At,At+Ct,Ml_mannose,0.001
338,A11,2,320000000.0,At,At+Oa,Ml_mannose,0.001
346,B7,2,480000000.0,At,At,Ml_mannose,0.001
349,B10,2,500000000.0,At,At+Ct,Ml_mannose,0.001
350,B11,2,280000000.0,At,At+Oa,Ml_mannose,0.001
357,C7,2,520000000.0,At,At,Ml_mannose,0.001
360,C10,2,360000000.0,At,At+Ct,Ml_mannose,0.001
361,C11,2,260000000.0,At,At+Oa,Ml_mannose,0.001
363,D1,2,440000000.0,At,At,Ct_isoleucine,0.001
366,D4,2,240000000.0,At,At+Ml,Ct_isoleucine,0.001
367,D5,2,440000000.0,At,At+Oa,Ct_isoleucine,0.001
369,D7,2,280000000.0,At,At,Oa_mannose,0.001
372,D10,2,160000000.0,At,At+Ct,Oa_mannose,0.001
373,D11,2,220000000.0,At,At+Ml,Oa_mannose,0.001
375,E1,2,460000000.0,At,At,Ct_isoleucine,0.001
378,E4,2,180000000.0,At,At+Ml,Ct_isoleucine,0.001
379,E5,2,280000000.0,At,At+Oa,Ct_isoleucine,0.001
381,E7,2,180000000.0,At,At,Oa_mannose,0.001
384,E10,2,220000000.0,At,At+Ct,Oa_mannose,0.001
385,E11,2,180000000.0,At,At+Ml,Oa_mannose,0.001
387,F1,2,420000000.0,At,At,Ct_isoleucine,0.001
390,F4,2,340000000.0,At,At+Ml,Ct_isoleucine,0.001
391,F5,2,440000000.0,At,At+Oa,Ct_isoleucine,0.001
393,F7,2,240000000.0,At,At,Oa_mannose,0.001
396,F10,2,200000000.0,At,At+Ct,Oa_mannose,0.001
397,F11,2,220000000.0,At,At+Ml,Oa_mannose,0.001
399,G1,2,30000000.0,At,At,No_CS,0.001
400,G2,2,40000000.0,At,At,No_CS,0.001
401,G3,2,44000000.0,At,At,No_CS,0.001
411,H1,2,54000000.0,At,At,At_mannose,0.001
412,H2,2,62000000.0,At,At,At_mannose,0.001
413,H3,2,220000000.0,At,At,At_mannose,0.001
423,Inoculum,0,206896.55172413794,Ct,,,0.001
424,Inoculum,0,118226.60098522168,Ct,,,0.001
425,Inoculum,0,177339.90147783252,Ct,,,0.001
