metabolite_id,charge,comment
R_3htd58coa,-4,
tetscoa,0,
cdpdhexdecglc,0,
hishis,0,
Ncarbsar,-1,
fbac_kt,-1,
salchs4,0,
bmnmsh,0,
R_3hpba,-1,
mi3p__D,0,
cell6,0,
R_3htd5e,-1,
hp2coa,-2,
R_3hhdca,-1,
pheocta,-1,
pb2coa,-4,
ppad,-2,
3oddccoa,-4,
R_3hhpa,1,
3hvacccoa,-4,
3aib__D,0,
salchs4fe,3,
fmnRD,-2,
2agpg161,-1,
ctncoa,0,
ala_leu,0,
glygln,0,
gdpmanur,-3,
ggspmd,2,
a53oh,0,
starch,0,
3hddccoa,-4,
R_3hpdecacoa,-4,
R_3hhcoa,-4,
3ohpcoa,-4,
hacp,0,
hia,0,
srb__L,0,
3hptslacoa,-4,
R3hdec4coa,-4,
2m35mdntha,0,
14dh2napcoa,-4,
3hpbcoa,-4,
campp,-2,
arabl__D,0,
dd6_2_coa,-4,
3hpptcoa,-4,
gly_asp__L,-1,
nadphx__S,-4,
tde2coa,-4,
12dgr_LLA,0,
nonacoa,-4,
3hasp__L,-1,
3opbcoa,-4,
araban__L,0,
3opcoa,3,
a2m2prpnte,0,
benzcoa,0,
ptcoa,-4,
hexscoa,0,
h2isocapcoa,0,
pyovd_kt,-1,
balabala,0,
hexdcoa,0,
R_3hpocta,-1,
tag__D,0,
dmanur,-2,
dgal6p,-2,
glc__bD,0,
pendp,-3,
algac_MG_23,-5,
dgo15lac,0,
2hadnt,-1,
dhcrn,0,
catechol,0,
mucl,-1,
tag181d9,0,
3hbycoa,-4,
R_3hcddec5ecoa,-4,
alagly,0,
a45imzc,0,
hmbpp,0,
3h6athcoa,-4,
algac_MG_41,-5,
mthd,0,
fru_B,0,
lmn2,0,
5cmhm,-3,
glyg4n,0,
phenona,-1,
glybcoa,-3,
35dnta,0,
gly_met,0,
hethmpp,-2,
glc_D_B,0,
ptdoh_MRSA,0,
tag182d9d12,0,
nadphx__R,-4,
galman6,0,
gudptn,0,
hexcoa,0,
vacc2coa,-4,
raffin,0,
3opptcoa,-4,
cellb6p,0,
glcman4,0,
R_3htd58e,-1,
R_3hpdeca,-1,
ficytc,0,
maltpttre,0,
R_3hpt,-1,
R_3hdcoa,-4,
lac6p,-2,
3fe4s,0,
3oxdhscoa,-5,
6ath2coa,-4,
decdp_tb,0,
4hptn,-1,
3oxptcoa,-4,
glyglu,-1,
entermg,0,
prohisglu,-1,
3ptcoa,-4,
gly_glu__L,-1,
hpta,-1,
hdceap,-1,
2ip3os,-2,
lysglugly,1,
oxalc,-2,
2ddara,-1,
pt2coa,-4,
4a2mpmpmd,-1,
citdapp,0,
gcvHL_ADPr,-3,
hepdp,-3,
23dhbzs2,0,
pa_Hp,0,
tyr__D,0,
decoa,-3,
6atha,-3,
4pen,-3,
hptcoa,-4,
salchsx,-1,
cob1nda,-5,
fgly,0,
rbl__L,0,
td58_2_coa,-4,
fmcbtt,0,
malttre,0,
R_3hhpcoa,-4,
abt__L,0,
R_3htd5coa,-4,
4cml,-2,
eiscoa,0,
3odec4coa,-4,
4hpro_DC,0,
12dag3p_BS,-200,
algac_MG_14,-5,
cro4,-2,
3h4atb,-1,
alaleu,0,
dccoa,-4,
3hbcoa__R,-4,
3hnonacoa,-6,
ggbamppal,0,
ttdceap,-1,
dmso2,0,
n5horn,0,
h4but,0,
glucan6,0,
pser,0,
3hdd5coa,-4,
R_3hphxa,-1,
2h3mb,-3,
p1p3b5adtp,0,
galman4,0,
ppat,-2,
cmcbtt,1,
24dhhed,-2,
2ohed,-2,
arbt,0,
dhmpt,0,
fe3dhbzs3,0,
acon,-3,
dag182d9d12,0,
R_3hpoctacoa,-4,
ggbdapal,0,
3ophpcoa,-4,
g6p_A,-2,
dxylnt,-1,
3h4atbcoa,-4,
dtet12radecg3p,0,
pc1,0,
2hetdp,-1,
adhlam,0,
rbl__D,0,
R_3hocoa,-4,
xyl4,0,
R_3hphpcoa,-4,
xylan8,0,
cinmcoa,-4,
cresol,0,
ham,0,
d23hb,0,
tmanur,-3,
R_3hphpa,-1,
php2coa,-4,
algac_MG_32,-5,
isobuta,0,
iv_p,-1,
dgdi12octdec,0,
R_3hptcoa,-4,
dd_3_6_coa,-4,
hcholc5coa,0,
oca,-3,
pdcacoa,-6,
