,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
210,B10,4,,Ml,Ct,Oa-malate
211,B11,4,,Ml,Ct,Oa-malate
212,B12,4,,Ml,Ct,Oa-malate
213,C1,4,1360000.0,Ml,Ml,At-malate
214,C2,4,1340000.0,Ml,Ml,At-malate
215,C3,4,,Ml,Ml,At-malate
216,C4,4,,Ml,Ml,Ct-malate
217,C5,4,60000000.0,Ml,Ml,Ct-malate
218,C6,4,50000000.0,Ml,Ml,Ct-malate
219,C7,4,520000.0,Ml,Ml,Ml-malate
220,C8,4,300000.0,Ml,Ml,Ml-malate
221,C9,4,340000.0,Ml,Ml,Ml-malate
222,C10,4,18000000.0,Ml,Ml,Oa-malate
223,C11,4,30000000.0,Ml,Ml,Oa-malate
224,C12,4,18000000.0,Ml,Ml,Oa-malate
225,D1,4,,Ml,Oa,At-malate
226,D2,4,,Ml,Oa,At-malate
227,D3,4,,Ml,Oa,At-malate
228,D4,4,,Ml,Oa,Ct-malate
229,D5,4,,Ml,Oa,Ct-malate
230,D7,4,,Ml,Oa,Ml-malate
231,D8,4,,Ml,Oa,Ml-malate
232,D9,4,,Ml,Oa,Ml-malate
233,D10,4,,Ml,Oa,Oa-malate
234,D11,4,,Ml,Oa,Oa-malate
235,D12,4,,Ml,Oa,Oa-malate
236,E1,4,,Ml,At,No-CS
237,E2,4,,Ml,At,No-CS
238,E3,4,,Ml,At,No-CS
239,E4,4,,Ml,Ct,No-CS
240,E5,4,,Ml,Ct,No-CS
241,E7,4,10000.0,Ml,Ml,No-CS
242,E8,4,4000.0,Ml,Ml,No-CS
243,E9,4,10000.0,Ml,Ml,No-CS
244,E10,4,,Ml,Oa,No-CS
245,E11,4,,Ml,Oa,No-CS
246,F1,4,8400000.0,Ml,Ct+Ml,At-malate
247,F2,4,8800000.0,Ml,Ct+Ml,At-malate
248,F3,4,13800000.0,Ml,Ct+Ml,At-malate
249,F4,4,108000000.0,Ml,At+Ml,Ct-malate
250,F5,4,86000000.0,Ml,At+Ml,Ct-malate
251,F6,4,66000000.0,Ml,At+Ml,Ct-malate
252,F7,4,,Ml,At+Ct,Ml-malate
253,F8,4,,Ml,At+Ct,Ml-malate
254,F9,4,,Ml,At+Ct,Ml-malate
255,F10,4,,Ml,At+Ct,Oa-malate
256,F11,4,,Ml,At+Ct,Oa-malate
257,F12,4,,Ml,At+Ct,Oa-malate
258,G1,4,,Ml,Ct+Oa,At-malate
259,G2,4,,Ml,Ct+Oa,At-malate
260,G3,4,,Ml,Ct+Oa,At-malate
261,G4,4,,Ml,At+Oa,Ct-malate
262,G5,4,,Ml,At+Oa,Ct-malate
263,G6,4,,Ml,At+Oa,Ct-malate
264,G7,4,,Ml,At+Oa,Ml-malate
265,G8,4,,Ml,At+Oa,Ml-malate
266,G9,4,,Ml,At+Oa,Ml-malate
267,G10,4,28000000.0,Ml,At+Ml,Oa-malate
268,G11,4,36000000.0,Ml,At+Ml,Oa-malate
269,G12,4,40000000.0,Ml,At+Ml,Oa-malate
270,H1,4,2800000.0,Ml,Ml+Oa,At-malate
