,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
520,H11,2,,Ct,Oa,Oa_mannose
521,H12,2,,Ct,Oa,Oa_mannose
522,Inoculum,0,758893.280632411,Ml,,
523,Inoculum,0,924901.185770751,Ml,,
524,Inoculum,0,948616.6007905138,Ml,,
525,Inoculum,0,853754.9407114624,Ml,,
526,A1,2,,Ml,Ct,At_mannose
527,A2,2,8000000.0,Ml,Ml,At_mannose
528,A3,2,,Ml,Oa,At_mannose
529,A4,2,4800000.0,Ml,Ct+Ml,At_mannose
530,A5,2,,Ml,Ct+Oa,At_mannose
531,A6,2,8000000.0,Ml,Ml+Oa,At_mannose
532,A7,2,,Ml,At,Ml_mannose
533,A8,2,,Ml,Ct,Ml_mannose
534,A9,2,,Ml,Oa,Ml_mannose
535,A10,2,,Ml,At+Ct,Ml_mannose
536,A11,2,,Ml,At+Oa,Ml_mannose
537,A12,2,,Ml,Ct+Oa,Ml_mannose
538,B1,2,,Ml,Ct,At_mannose
539,B2,2,10000000.0,Ml,Ml,At_mannose
540,B3,2,,Ml,Oa,At_mannose
541,B4,2,9000000.0,Ml,Ct+Ml,At_mannose
542,B5,2,,Ml,Ct+Oa,At_mannose
543,B6,2,16000000.0,Ml,Ml+Oa,At_mannose
544,B7,2,,Ml,At,Ml_mannose
545,B8,2,,Ml,Ct,Ml_mannose
546,B9,2,,Ml,Oa,Ml_mannose
547,B10,2,,Ml,At+Ct,Ml_mannose
548,B11,2,,Ml,At+Oa,Ml_mannose
549,B12,2,,Ml,Ct+Oa,Ml_mannose
550,C2,2,14000000.0,Ml,Ml,At_mannose
551,C3,2,,Ml,Oa,At_mannose
552,C4,2,10400000.0,Ml,Ct+Ml,At_mannose
553,C5,2,,Ml,Ct+Oa,At_mannose
554,C6,2,18000000.0,Ml,Ml+Oa,At_mannose
555,C7,2,,Ml,At,Ml_mannose
556,C8,2,,Ml,Ct,Ml_mannose
557,C9,2,,Ml,Oa,Ml_mannose
558,C10,2,,Ml,At+Ct,Ml_mannose
559,C11,2,,Ml,At+Oa,Ml_mannose
560,C12,2,,Ml,Ct+Oa,Ml_mannose
561,D1,2,,Ml,At,Ct_isoleucine
562,D2,2,42000000.0,Ml,Ml,Ct_isoleucine
563,D3,2,,Ml,Oa,Ct_isoleucine
