,Well,Plate,CFUs/mL,Species,Inoculated species,Medium
91,H4,5,,At,Oa,M9_mannose
92,H5,5,4400000000.0,At,At,M9_mannose+thiamine
93,H6,5,,At,Ct,M9_mannose+thiamine
94,H7,5,,At,Ml,M9_mannose+thiamine
95,H8,5,,At,Oa,M9_mannose+thiamine
96,H9,5,5600000000.0,At,At,M9_mannose+thiamine+biotin+cysteine+proline
97,H10,5,,At,Ct,M9_mannose+thiamine+biotin+cysteine+proline
98,H11,5,,At,Ml,M9_mannose+thiamine+biotin+cysteine+proline
99,H12,5,,At,Oa,M9_mannose+thiamine+biotin+cysteine+proline
100,Inoculum,0,195121.9512195122,Ct,,
101,Inoculum,0,204878.0487804878,Ct,,
102,Inoculum,0,190243.9024390244,Ct,,
103,Inoculum,0,180487.80487804877,Ct,,
104,A1,5,480000000.0,Ct,At+Ct,M9_mannose
105,A2,5,,Ct,At+Ml,M9_mannose
106,A3,5,,Ct,At+Oa,M9_mannose
107,A4,5,70000000.0,Ct,Ct+Ml,M9_mannose
108,A5,5,180000000.0,Ct,Ct+Oa,M9_mannose
109,A6,5,,Ct,Ml+Oa,M9_mannose
110,A7,5,,Ct,At+Oa,M9_mannose+thiamine
111,A8,5,14000000.0,Ct,Ct+Oa,M9_mannose+thiamine
112,A9,5,,Ct,Ml+Oa,M9_mannose+thiamine
113,A10,5,,Ct,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline
114,A11,5,2200000000.0,Ct,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline
115,A12,5,,Ct,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline
116,B1,5,340000000.0,Ct,At+Ct,M9_mannose
117,B2,5,,Ct,At+Ml,M9_mannose
118,B3,5,,Ct,At+Oa,M9_mannose
119,B4,5,68000000.0,Ct,Ct+Ml,M9_mannose
120,B5,5,180000000.0,Ct,Ct+Oa,M9_mannose
121,B6,5,,Ct,Ml+Oa,M9_mannose
122,B7,5,,Ct,At+Oa,M9_mannose+thiamine
123,B8,5,18000000.0,Ct,Ct+Oa,M9_mannose+thiamine
124,B9,5,,Ct,Ml+Oa,M9_mannose+thiamine
125,B10,5,,Ct,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline
126,B11,5,2000000000.0,Ct,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline
127,B12,5,,Ct,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline
128,C1,5,440000000.0,Ct,At+Ct,M9_mannose
129,C2,5,,Ct,At+Ml,M9_mannose
130,C3,5,,Ct,At+Oa,M9_mannose
131,C4,5,76000000.0,Ct,Ct+Ml,M9_mannose
132,C5,5,220000000.0,Ct,Ct+Oa,M9_mannose
133,C6,5,,Ct,Ml+Oa,M9_mannose
134,C7,5,,Ct,At+Oa,M9_mannose+thiamine
135,C8,5,24000000.0,Ct,Ct+Oa,M9_mannose+thiamine
136,C9,5,,Ct,Ml+Oa,M9_mannose+thiamine
137,C10,5,,Ct,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline
138,C11,5,2800000000.0,Ct,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline
139,C12,5,,Ct,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline
140,D1,5,580000000.0,Ct,At+Ct,M9_mannose
141,D2,5,,Ct,At+Ml,M9_mannose
142,D3,5,,Ct,At+Oa,M9_mannose
143,D4,5,102000000.0,Ct,Ct+Ml,M9_mannose
144,D5,5,160000000.0,Ct,Ct+Oa,M9_mannose
145,D6,5,,Ct,Ml+Oa,M9_mannose
146,D7,5,,Ct,At+Oa,M9_mannose+thiamine
147,D8,5,20000000.0,Ct,Ct+Oa,M9_mannose+thiamine
148,D9,5,,Ct,Ml+Oa,M9_mannose+thiamine
149,D10,5,,Ct,At+Ml,M9_mannose+thiamine+biotin+cysteine+proline
150,D11,5,1400000000.0,Ct,Ct+Ml,M9_mannose+thiamine+biotin+cysteine+proline
151,D12,5,,Ct,Ml+Oa,M9_mannose+thiamine+biotin+cysteine+proline
152,E1,5,,Ct,At,M9_mannose
153,E2,5,5800000.0,Ct,Ct,M9_mannose
154,E3,5,,Ct,Ml,M9_mannose
155,E4,5,,Ct,Oa,M9_mannose
156,E5,5,,Ct,At,M9_mannose+thiamine
157,E6,5,340000.0,Ct,Ct,M9_mannose+thiamine
158,E7,5,,Ct,Ml,M9_mannose+thiamine
159,E8,5,,Ct,Oa,M9_mannose+thiamine
160,E9,5,,Ct,At,M9_mannose+thiamine+biotin+cysteine+proline
161,E10,5,520000000.0,Ct,Ct,M9_mannose+thiamine+biotin+cysteine+proline
162,E11,5,,Ct,Ml,M9_mannose+thiamine+biotin+cysteine+proline
163,E12,5,,Ct,Oa,M9_mannose+thiamine+biotin+cysteine+proline
164,F1,5,,Ct,At,M9_mannose
165,F2,5,6400000.0,Ct,Ct,M9_mannose
166,F3,5,,Ct,Ml,M9_mannose
167,F4,5,,Ct,Oa,M9_mannose
168,F5,5,,Ct,At,M9_mannose+thiamine
169,F6,5,540000.0,Ct,Ct,M9_mannose+thiamine
170,F7,5,,Ct,Ml,M9_mannose+thiamine
171,F8,5,,Ct,Oa,M9_mannose+thiamine
172,F9,5,,Ct,At,M9_mannose+thiamine+biotin+cysteine+proline
173,F10,5,460000000.0,Ct,Ct,M9_mannose+thiamine+biotin+cysteine+proline
174,F11,5,,Ct,Ml,M9_mannose+thiamine+biotin+cysteine+proline
175,F12,5,,Ct,Oa,M9_mannose+thiamine+biotin+cysteine+proline
176,G1,5,,Ct,At,M9_mannose
177,G2,5,6000000.0,Ct,Ct,M9_mannose
178,G3,5,,Ct,Ml,M9_mannose
179,G4,5,,Ct,Oa,M9_mannose
180,G5,5,,Ct,At,M9_mannose+thiamine
181,G6,5,420000.0,Ct,Ct,M9_mannose+thiamine
182,G7,5,,Ct,Ml,M9_mannose+thiamine
183,G8,5,,Ct,Oa,M9_mannose+thiamine
184,G9,5,,Ct,At,M9_mannose+thiamine+biotin+cysteine+proline
185,G10,5,420000000.0,Ct,Ct,M9_mannose+thiamine+biotin+cysteine+proline
186,G11,5,,Ct,Ml,M9_mannose+thiamine+biotin+cysteine+proline
187,G12,5,,Ct,Oa,M9_mannose+thiamine+biotin+cysteine+proline
188,H1,5,,Ct,At,M9_mannose
189,H2,5,11200000.0,Ct,Ct,M9_mannose
190,H3,5,,Ct,Ml,M9_mannose
191,H4,5,,Ct,Oa,M9_mannose
