,At,Ct,Ml,Oa
Acetate,0.00017772668446604603,2.4430376257491165e-05,0.010437109760796365,0.00028885771621721076
Adenosine,0.003297097289292716,0.2589099330970581,0.0009082830511131365,0.001068898795651546
Citrate,0.009892692118609494,8.239946938032055e-06,0.0002233378606979886,7.422964952443495e-05
Cysteine,0.003947671490571017,0.004724526077251163,0.000503519017842414,0.0015268064011245848
D-arabinose,0.0005235164947836682,0.29366281315490167,0.0005421470117010111,0.0004528001020399888
D-glucose,5.6854896260028116e-05,0.06236589021657881,1.1875620177293284e-05,1.1628594910074176e-07
D-xylose,4.8387880889981844e-06,0.11898550547608432,6.577001742387173e-08,8.618455545478882e-06
Formate,0.0004002637624771706,0.2451249717035361,0.0011658836745694354,0.008611088504881171
Fumarate,1.2612566795489206e-05,0.00043545180006207215,0.0003941634667566773,4.972266215121446e-05
Glutarate,2.856776538370069e-05,1.6484551078928398e-07,1.6024403622285585e-06,2.5997442731317328e-05
Glycerol,8.783968607737904e-05,0.12443056176649937,2.030678649057808e-07,0.005465662605196851
Glycine,0.4579276290924766,1.0195364789696254e-05,0.00946407292747056,0.0013074945398401556
Inosine,0.007425662984188572,0.45684057265848876,0.0025730961040441977,8.624354559665292e-05
L-alanine,5.19087520227241e-07,4.0491612481017735e-05,3.831213492974998e-05,2.2118360083184963e-05
L-arginine,1.1412857767488862e-05,0.23080821339720978,2.7922485624702946e-06,0.008299988248893742
L-aspartate,8.407682024181446e-05,1.5090474586062656e-08,2.0528499800736915e-06,0.001334536356973955
L-glutamate,0.00021659670117354866,9.897752674322383e-10,0.00040509700479129555,1.9719861049061965e-05
L-glutamine,5.044956994395629e-06,4.474045090628397e-09,2.6785783498909514e-06,2.696462784313015e-05
L-histidine,1.0591820426673119e-06,4.414939248851166e-09,7.439479077540542e-05,2.616897241757513e-05
L-isoleucine,0.12341713799611428,0.0004589251942162767,0.0030825014675643363,0.006554465177541362
L-lactate,0.00011226453758981379,2.3984650183672692e-05,0.0010242797168453649,0.0001974963559690464
L-leucine,0.008926730784012595,1.571740727684037e-09,0.0016723503046631313,0.0219491714407991
Malate,6.614640611457847e-06,6.126379325633403e-09,6.870036898957912e-05,0.00019328956217639086
Mannitol,1.1236881655265543e-06,0.3049377797895976,2.3340442826326243e-06,1.6265408261498826e-06
Mannose,0.000671018380562296,0.19639654088632955,0.0012110512158751792,1.4717539481656858e-06
Myo-inositol,4.691103753430184e-05,0.04831359457380946,0.0019159551740048797,1.24788109987007e-05
Orotate,0.0038140150953740307,0.0009579153444415996,0.17137747275793216,0.01871150404311744
Phenylalanine,0.003270568099351205,6.781477894366886e-08,6.298895109223581e-05,0.001251527193071713
Proline,0.0008483527749531158,3.271296830697382e-08,0.004231829396637787,0.00017981743625576247
Pyruvate,0.00010574301337825955,1.0034917044091023e-06,0.00011012152162191147,3.2114319931024765e-05
Ribose,0.00031825820949765997,0.4081395293581549,0.00029895995622889246,4.825969318280605e-05
Sucrose,2.3905221020291806e-05,0.2576686615568592,1.6356130741447518e-06,3.9255650871491365e-06
Uridine,0.0002889960219476305,0.013939422916872597,9.72344192088107e-06,0.12655695935059605
No CS,0.5,0.5,0.5,0.5
