,Hours,Well,OD600,Sample ID,Medium no. ,Replicate,Medium,Species,Blank
67,33.986111111111114,B2,0.139,12A,6,A,MM-,Oa from 6ABC,B11
68,34.486111111111114,B2,0.139,12A,6,A,MM-,Oa from 6ABC,B11
69,34.986111111111114,B2,0.137,12A,6,A,MM-,Oa from 6ABC,B11
70,35.486111111111114,B2,0.139,12A,6,A,MM-,Oa from 6ABC,B11
71,35.986111111111114,B2,0.139,12A,6,A,MM-,Oa from 6ABC,B11
72,36.486111111111114,B2,0.137,12A,6,A,MM-,Oa from 6ABC,B11
73,36.986111111111114,B2,0.137,12A,6,A,MM-,Oa from 6ABC,B11
74,37.486111111111114,B2,0.141,12A,6,A,MM-,Oa from 6ABC,B11
75,37.986111111111114,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
76,38.486111111111114,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
77,38.986111111111114,B2,0.139,12A,6,A,MM-,Oa from 6ABC,B11
78,39.486111111111114,B2,0.141,12A,6,A,MM-,Oa from 6ABC,B11
79,39.986111111111114,B2,0.139,12A,6,A,MM-,Oa from 6ABC,B11
80,40.486111111111114,B2,0.141,12A,6,A,MM-,Oa from 6ABC,B11
81,40.986111111111114,B2,0.141,12A,6,A,MM-,Oa from 6ABC,B11
82,41.486111111111114,B2,0.138,12A,6,A,MM-,Oa from 6ABC,B11
83,41.986111111111114,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
84,42.486111111111114,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
85,42.986111111111114,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
86,43.486111111111114,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
87,43.986111111111114,B2,0.143,12A,6,A,MM-,Oa from 6ABC,B11
88,44.486111111111114,B2,0.145,12A,6,A,MM-,Oa from 6ABC,B11
89,44.986111111111114,B2,0.146,12A,6,A,MM-,Oa from 6ABC,B11
90,45.486111111111114,B2,0.144,12A,6,A,MM-,Oa from 6ABC,B11
91,45.986111111111114,B2,0.144,12A,6,A,MM-,Oa from 6ABC,B11
92,46.486111111111114,B2,0.144,12A,6,A,MM-,Oa from 6ABC,B11
93,46.986111111111114,B2,0.144,12A,6,A,MM-,Oa from 6ABC,B11
94,47.486111111111114,B2,0.145,12A,6,A,MM-,Oa from 6ABC,B11
95,47.986111111111114,B2,0.142,12A,6,A,MM-,Oa from 6ABC,B11
96,48.486111111111114,B2,0.143,12A,6,A,MM-,Oa from 6ABC,B11
97,48.986111111111114,B2,0.143,12A,6,A,MM-,Oa from 6ABC,B11
98,49.486111111111114,B2,0.145,12A,6,A,MM-,Oa from 6ABC,B11
99,49.986111111111114,B2,0.146,12A,6,A,MM-,Oa from 6ABC,B11
100,50.486111111111114,B2,0.144,12A,6,A,MM-,Oa from 6ABC,B11
101,50.986111111111114,B2,0.143,12A,6,A,MM-,Oa from 6ABC,B11
102,51.486111111111114,B2,0.144,12A,6,A,MM-,Oa from 6ABC,B11
103,51.986111111111114,B2,0.144,12A,6,A,MM-,Oa from 6ABC,B11
104,52.486111111111114,B2,0.141,12A,6,A,MM-,Oa from 6ABC,B11
105,52.986111111111114,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
106,53.486111111111114,B2,0.144,12A,6,A,MM-,Oa from 6ABC,B11
107,53.986111111111114,B2,0.135,12A,6,A,MM-,Oa from 6ABC,B11
108,54.486111111111114,B2,0.135,12A,6,A,MM-,Oa from 6ABC,B11
109,54.986111111111114,B2,0.136,12A,6,A,MM-,Oa from 6ABC,B11
110,55.486111111111114,B2,0.136,12A,6,A,MM-,Oa from 6ABC,B11
111,55.986111111111114,B2,0.134,12A,6,A,MM-,Oa from 6ABC,B11
112,56.486111111111114,B2,0.137,12A,6,A,MM-,Oa from 6ABC,B11
113,56.986111111111114,B2,0.138,12A,6,A,MM-,Oa from 6ABC,B11
114,57.486111111111114,B2,0.138,12A,6,A,MM-,Oa from 6ABC,B11
115,57.986111111111114,B2,0.138,12A,6,A,MM-,Oa from 6ABC,B11
116,58.486111111111114,B2,0.136,12A,6,A,MM-,Oa from 6ABC,B11
117,58.986111111111114,B2,0.138,12A,6,A,MM-,Oa from 6ABC,B11
118,59.486111111111114,B2,0.137,12A,6,A,MM-,Oa from 6ABC,B11
119,59.986111111111114,B2,0.138,12A,6,A,MM-,Oa from 6ABC,B11
120,60.486111111111114,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
121,60.986111111111114,B2,0.141,12A,6,A,MM-,Oa from 6ABC,B11
122,61.486111111111114,B2,0.141,12A,6,A,MM-,Oa from 6ABC,B11
123,61.986111111111114,B2,0.137,12A,6,A,MM-,Oa from 6ABC,B11
124,62.486111111111114,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
125,62.986111111111114,B2,0.139,12A,6,A,MM-,Oa from 6ABC,B11
126,63.486111111111114,B2,0.138,12A,6,A,MM-,Oa from 6ABC,B11
127,63.986111111111114,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
128,64.48611111111111,B2,0.139,12A,6,A,MM-,Oa from 6ABC,B11
129,64.98611111111111,B2,0.138,12A,6,A,MM-,Oa from 6ABC,B11
130,65.48611111111111,B2,0.141,12A,6,A,MM-,Oa from 6ABC,B11
131,65.98611111111111,B2,0.141,12A,6,A,MM-,Oa from 6ABC,B11
132,66.48611111111111,B2,0.143,12A,6,A,MM-,Oa from 6ABC,B11
133,66.98611111111111,B2,0.139,12A,6,A,MM-,Oa from 6ABC,B11
134,67.48611111111111,B2,0.144,12A,6,A,MM-,Oa from 6ABC,B11
135,67.98611111111111,B2,0.145,12A,6,A,MM-,Oa from 6ABC,B11
136,68.48611111111111,B2,0.142,12A,6,A,MM-,Oa from 6ABC,B11
137,68.98611111111111,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
138,69.48611111111111,B2,0.137,12A,6,A,MM-,Oa from 6ABC,B11
139,69.98611111111111,B2,0.134,12A,6,A,MM-,Oa from 6ABC,B11
140,70.48611111111111,B2,0.132,12A,6,A,MM-,Oa from 6ABC,B11
141,70.98611111111111,B2,0.131,12A,6,A,MM-,Oa from 6ABC,B11
142,71.48611111111111,B2,0.134,12A,6,A,MM-,Oa from 6ABC,B11
143,71.98611111111111,B2,0.138,12A,6,A,MM-,Oa from 6ABC,B11
144,72.48611111111111,B2,0.141,12A,6,A,MM-,Oa from 6ABC,B11
145,72.98611111111111,B2,0.139,12A,6,A,MM-,Oa from 6ABC,B11
146,73.48611111111111,B2,0.14,12A,6,A,MM-,Oa from 6ABC,B11
147,73.98611111111111,B2,0.135,12A,6,A,MM-,Oa from 6ABC,B11
148,74.48611111111111,B2,0.138,12A,6,A,MM-,Oa from 6ABC,B11
149,74.98611111111111,B2,0.134,12A,6,A,MM-,Oa from 6ABC,B11
150,75.48611111111111,B2,0.131,12A,6,A,MM-,Oa from 6ABC,B11
151,75.98611111111111,B2,0.129,12A,6,A,MM-,Oa from 6ABC,B11
152,76.48611111111111,B2,0.133,12A,6,A,MM-,Oa from 6ABC,B11
153,76.98611111111111,B2,0.132,12A,6,A,MM-,Oa from 6ABC,B11
154,77.48611111111111,B2,0.135,12A,6,A,MM-,Oa from 6ABC,B11
155,77.98611111111111,B2,0.133,12A,6,A,MM-,Oa from 6ABC,B11
156,78.48611111111111,B2,0.126,12A,6,A,MM-,Oa from 6ABC,B11
157,78.98611111111111,B2,0.126,12A,6,A,MM-,Oa from 6ABC,B11
158,79.48611111111111,B2,0.126,12A,6,A,MM-,Oa from 6ABC,B11
159,79.98611111111111,B2,0.128,12A,6,A,MM-,Oa from 6ABC,B11
160,80.48611111111111,B2,0.128,12A,6,A,MM-,Oa from 6ABC,B11
161,80.98611111111111,B2,0.127,12A,6,A,MM-,Oa from 6ABC,B11
162,81.48611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
163,81.98611111111111,B2,0.123,12A,6,A,MM-,Oa from 6ABC,B11
164,82.48611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
165,82.98611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
166,83.48611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
167,83.98611111111111,B2,0.123,12A,6,A,MM-,Oa from 6ABC,B11
168,84.48611111111111,B2,0.123,12A,6,A,MM-,Oa from 6ABC,B11
169,84.98611111111111,B2,0.122,12A,6,A,MM-,Oa from 6ABC,B11
170,85.48611111111111,B2,0.122,12A,6,A,MM-,Oa from 6ABC,B11
171,85.98611111111111,B2,0.122,12A,6,A,MM-,Oa from 6ABC,B11
172,86.48611111111111,B2,0.123,12A,6,A,MM-,Oa from 6ABC,B11
173,86.98611111111111,B2,0.123,12A,6,A,MM-,Oa from 6ABC,B11
174,87.48611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
175,87.98611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
176,88.48611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
177,88.98611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
178,89.48611111111111,B2,0.125,12A,6,A,MM-,Oa from 6ABC,B11
179,89.98611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
180,90.48611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
181,90.98611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
182,91.48611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
183,91.98611111111111,B2,0.124,12A,6,A,MM-,Oa from 6ABC,B11
184,0.4861111111111111,B3,0.083,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
185,0.9861111111111109,B3,0.083,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
186,1.4861111111111112,B3,0.084,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
187,1.9861111111111112,B3,0.085,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
188,2.486111111111111,B3,0.086,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
189,2.986111111111111,B3,0.086,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
190,3.4861111111111107,B3,0.086,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
191,3.986111111111111,B3,0.086,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
192,4.486111111111111,B3,0.086,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
193,4.986111111111111,B3,0.086,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
194,5.486111111111111,B3,0.086,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
195,5.986111111111111,B3,0.086,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
196,6.486111111111111,B3,0.086,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
197,6.986111111111111,B3,0.086,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
198,7.486111111111111,B3,0.086,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
199,7.986111111111111,B3,0.089,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
200,8.48611111111111,B3,0.091,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
201,8.98611111111111,B3,0.093,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
202,9.48611111111111,B3,0.092,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
203,9.98611111111111,B3,0.098,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
204,10.48611111111111,B3,0.1,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
205,10.98611111111111,B3,0.105,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
206,11.48611111111111,B3,0.109,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
207,11.98611111111111,B3,0.112,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
208,12.48611111111111,B3,0.116,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
209,12.98611111111111,B3,0.122,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
210,13.48611111111111,B3,0.125,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
211,13.98611111111111,B3,0.132,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
212,14.48611111111111,B3,0.142,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
213,14.98611111111111,B3,0.152,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
214,15.48611111111111,B3,0.156,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
215,15.98611111111111,B3,0.16,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
216,16.48611111111111,B3,0.166,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
217,16.98611111111111,B3,0.17,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
218,17.48611111111111,B3,0.18,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
219,17.98611111111111,B3,0.191,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
220,18.48611111111111,B3,0.209,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
221,18.98611111111111,B3,0.218,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
222,19.48611111111111,B3,0.229,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
223,19.98611111111111,B3,0.241,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
224,20.48611111111111,B3,0.257,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
225,20.98611111111111,B3,0.271,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
226,21.48611111111111,B3,0.297,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
227,21.98611111111111,B3,0.315,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
228,22.48611111111111,B3,0.346,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
229,22.98611111111111,B3,0.372,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
230,23.48611111111111,B3,0.438,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
231,23.98611111111111,B3,0.523,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
232,24.486111111111107,B3,0.637,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
233,24.986111111111114,B3,0.662,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
234,25.48611111111111,B3,0.703,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
235,25.986111111111107,B3,0.751,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
236,26.486111111111114,B3,0.774,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
237,26.98611111111111,B3,0.798,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
238,27.486111111111107,B3,0.82,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
239,27.986111111111114,B3,0.826,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
240,28.48611111111111,B3,0.854,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
241,28.986111111111107,B3,0.87,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
242,29.486111111111114,B3,0.89,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
243,29.98611111111111,B3,0.909,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
244,30.486111111111107,B3,0.92,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
245,30.986111111111114,B3,0.942,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
246,31.48611111111111,B3,0.952,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
247,31.986111111111107,B3,0.97,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
248,32.486111111111114,B3,0.983,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
249,32.986111111111114,B3,0.996,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
250,33.486111111111114,B3,1.012,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
251,33.986111111111114,B3,1.027,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
252,34.486111111111114,B3,1.036,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
253,34.986111111111114,B3,1.048,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
254,35.486111111111114,B3,1.062,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
255,35.986111111111114,B3,1.075,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
256,36.486111111111114,B3,1.085,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
257,36.986111111111114,B3,1.095,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
258,37.486111111111114,B3,1.11,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
259,37.986111111111114,B3,1.128,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
260,38.486111111111114,B3,1.139,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
261,38.986111111111114,B3,1.152,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
262,39.486111111111114,B3,1.169,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
263,39.986111111111114,B3,1.186,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
264,40.486111111111114,B3,1.2,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
265,40.986111111111114,B3,1.21,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
266,41.486111111111114,B3,1.21,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
267,41.986111111111114,B3,1.215,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
268,42.486111111111114,B3,1.229,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
269,42.986111111111114,B3,1.24,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
270,43.486111111111114,B3,1.259,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
271,43.986111111111114,B3,1.285,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
272,44.486111111111114,B3,1.29,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
273,44.986111111111114,B3,1.285,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
274,45.486111111111114,B3,1.277,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
275,45.986111111111114,B3,1.279,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
276,46.486111111111114,B3,1.278,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
277,46.986111111111114,B3,1.267,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
278,47.486111111111114,B3,1.263,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
279,47.986111111111114,B3,1.258,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
280,48.486111111111114,B3,1.237,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
281,48.986111111111114,B3,1.234,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
282,49.486111111111114,B3,1.231,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
283,49.986111111111114,B3,1.208,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
284,50.486111111111114,B3,1.172,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
285,50.986111111111114,B3,1.149,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
286,51.486111111111114,B3,1.134,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
287,51.986111111111114,B3,1.14,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
288,52.486111111111114,B3,1.15,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
289,52.986111111111114,B3,1.154,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
290,53.486111111111114,B3,1.136,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
291,53.986111111111114,B3,1.139,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
292,54.486111111111114,B3,1.13,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
293,54.986111111111114,B3,1.126,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
294,55.486111111111114,B3,1.125,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
295,55.986111111111114,B3,1.135,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
296,56.486111111111114,B3,1.128,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
297,56.986111111111114,B3,1.123,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
298,57.486111111111114,B3,1.129,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
299,57.986111111111114,B3,1.116,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
300,58.486111111111114,B3,1.129,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
301,58.986111111111114,B3,1.122,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
302,59.486111111111114,B3,1.12,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
303,59.986111111111114,B3,1.118,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
304,60.486111111111114,B3,1.111,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
305,60.986111111111114,B3,1.111,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
306,61.486111111111114,B3,1.114,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
307,61.986111111111114,B3,1.122,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
308,62.486111111111114,B3,1.109,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
309,62.986111111111114,B3,1.117,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
310,63.486111111111114,B3,1.121,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
311,63.986111111111114,B3,1.113,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
312,64.48611111111111,B3,1.118,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
313,64.98611111111111,B3,1.115,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
314,65.48611111111111,B3,1.101,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
315,65.98611111111111,B3,1.114,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
316,66.48611111111111,B3,1.104,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
317,66.98611111111111,B3,1.109,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
318,67.48611111111111,B3,1.105,14A,7,A,MM- + Thiamine,Oa from 6ABC,C11
